/home/ccyuan/Project/KG_cash/datasets/complex-web-questions-dataset/ComplexWebQuestions_train.json: +10,215 entities
/home/ccyuan/Project/KG_cash/datasets/complex-web-questions-dataset/ComplexWebQuestions_dev.json: +845 entities
/home/ccyuan/Project/KG_cash/datasets/complex-web-questions-dataset/ComplexWebQuestions_test.json: +780 entities
total CWQ entities: 11,840
read=1,000,000 kept=52,644
read=806,000,000 kept=26,669,807
read=807,000,000 kept=26,700,395
read=808,000,000 kept=26,713,261
read=809,000,000 kept=26,733,395
read=810,000,000 kept=26,782,106
read=811,000,000 kept=26,829,627
read=812,000,000 kept=26,850,888
read=813,000,000 kept=26,864,343
read=814,000,000 kept=26,908,884
read=815,000,000 kept=26,941,906
read=816,000,000 kept=26,979,133
read=817,000,000 kept=27,003,296
read=818,000,000 kept=27,029,537
read=819,000,000 kept=27,080,849
read=820,000,000 kept=27,110,455
read=821,000,000 kept=27,142,386
read=822,000,000 kept=27,156,820
read=823,000,000 kept=27,173,491
read=824,000,000 kept=27,224,760
read=825,000,000 kept=27,257,679
read=826,000,000 kept=27,442,227
read=827,000,000 kept=27,456,771
read=828,000,000 kept=27,479,045
read=829,000,000 kept=27,523,548
read=830,000,000 kept=27,722,670
read=831,000,000 kept=27,745,759
read=832,000,000 kept=27,760,591
read=833,000,000 kept=27,787,512
read=834,000,000 kept=27,833,045
read=835,000,000 kept=27,871,452
read=836,000,000 kept=27,895,687
read=837,000,000 kept=27,908,700
read=838,000,000 kept=27,957,447
read=839,000,000 kept=27,982,407
read=840,000,000 kept=28,025,118
read=841,000,000 kept=28,045,024
read=842,000,000 kept=28,057,427
read=843,000,000 kept=28,110,255
read=844,000,000 kept=28,165,703
read=845,000,000 kept=28,196,469
read=846,000,000 kept=28,210,691
read=847,000,000 kept=28,232,218
read=848,000,000 kept=28,278,254
read=849,000,000 kept=28,312,001
read=850,000,000 kept=28,335,182
read=851,000,000 kept=28,347,473
read=852,000,000 kept=28,395,997
read=853,000,000 kept=28,425,655
read=854,000,000 kept=28,457,871
read=855,000,000 kept=28,479,990
read=856,000,000 kept=28,492,086
read=857,000,000 kept=28,543,737
read=858,000,000 kept=28,589,662
read=859,000,000 kept=28,619,434
read=860,000,000 kept=28,632,515
read=861,000,000 kept=28,650,967
read=862,000,000 kept=28,700,852
read=863,000,000 kept=28,742,926
read=864,000,000 kept=28,764,178
read=865,000,000 kept=28,795,300
read=866,000,000 kept=28,818,700
read=867,000,000 kept=28,862,233
read=868,000,000 kept=28,898,182
read=869,000,000 kept=28,926,450
read=870,000,000 kept=28,939,513
read=871,000,000 kept=28,987,744
read=872,000,000 kept=29,014,734
read=873,000,000 kept=29,047,245
read=874,000,000 kept=29,114,029
read=875,000,000 kept=29,125,781
read=876,000,000 kept=29,176,909
read=877,000,000 kept=29,203,072
read=878,000,000 kept=29,234,856
read=879,000,000 kept=29,251,213
read=880,000,000 kept=29,268,526
read=881,000,000 kept=29,319,672
read=882,000,000 kept=29,388,624
read=883,000,000 kept=29,409,235
read=884,000,000 kept=29,424,710
read=885,000,000 kept=29,461,684
read=886,000,000 kept=29,516,009
read=887,000,000 kept=29,546,434
read=888,000,000 kept=29,569,124
read=889,000,000 kept=29,580,407
read=890,000,000 kept=29,629,691
read=891,000,000 kept=29,658,085
read=892,000,000 kept=29,704,285
read=893,000,000 kept=29,741,597
read=894,000,000 kept=29,753,734
read=895,000,000 kept=29,806,296
read=896,000,000 kept=29,877,182
read=897,000,000 kept=29,919,041
read=898,000,000 kept=29,934,760
read=899,000,000 kept=29,952,519
read=900,000,000 kept=30,002,769
read=901,000,000 kept=30,039,039
read=902,000,000 kept=30,060,374
read=903,000,000 kept=30,073,493
read=904,000,000 kept=30,110,006
read=905,000,000 kept=30,148,512
read=906,000,000 kept=30,183,611
read=907,000,000 kept=30,207,044
read=908,000,000 kept=30,218,783
read=909,000,000 kept=30,270,163
read=910,000,000 kept=30,325,259
read=911,000,000 kept=30,357,890
read=912,000,000 kept=30,375,547
read=913,000,000 kept=30,389,841
read=914,000,000 kept=30,442,371
read=915,000,000 kept=30,474,897
read=916,000,000 kept=30,501,121
read=917,000,000 kept=30,516,150
read=918,000,000 kept=30,545,219
read=919,000,000 kept=30,586,213
read=920,000,000 kept=30,623,063
read=921,000,000 kept=30,646,040
read=922,000,000 kept=30,657,844
read=923,000,000 kept=30,706,649
read=924,000,000 kept=30,757,683
read=925,000,000 kept=30,818,702
read=926,000,000 kept=30,840,157
read=927,000,000 kept=30,851,791
read=928,000,000 kept=30,904,331
read=929,000,000 kept=30,932,045
read=930,000,000 kept=30,978,118
read=931,000,000 kept=30,991,275
read=932,000,000 kept=31,009,388
read=933,000,000 kept=31,082,322
read=934,000,000 kept=31,174,871
read=935,000,000 kept=31,196,632
read=936,000,000 kept=31,211,658
read=937,000,000 kept=31,246,030
read=938,000,000 kept=31,280,058
read=939,000,000 kept=31,313,343
read=940,000,000 kept=31,343,309
read=941,000,000 kept=31,353,207
read=942,000,000 kept=31,404,874
read=943,000,000 kept=31,470,008
read=944,000,000 kept=31,501,505
read=945,000,000 kept=31,521,090
read=946,000,000 kept=31,534,227
read=947,000,000 kept=31,586,499
read=948,000,000 kept=31,620,573
read=949,000,000 kept=31,645,424
read=950,000,000 kept=31,662,560
read=951,000,000 kept=31,677,189
read=952,000,000 kept=31,730,507
read=953,000,000 kept=31,765,086
read=954,000,000 kept=31,786,000
read=955,000,000 kept=31,802,693
done: read=955,648,474 kept=31,814,348
Transferred:   	          0 B / 3.127 GiB, 0%, 0 B/s, ETA -
Transferred:            0 / 1, 0%
Elapsed time:         0.9s
Transferring:
 *                         WebQSP_FilterFreebase:  0% /3.127Gi, 0/s, -Transferred:   	    6.090 MiB / 3.127 GiB, 0%, 0 B/s, ETA -
Transferred:            0 / 1, 0%
Elapsed time:         1.4s
Transferring:
 *                         WebQSP_FilterFreebase:  0% /3.127Gi, 0/s, -Transferred:   	   21.715 MiB / 3.127 GiB, 1%, 7.992 MiB/s, ETA 6m37s
Transferred:            0 / 1, 0%
Elapsed time:         1.9s
Transferring:
 *                         WebQSP_FilterFreebase:  0% /3.127Gi, 7.992Mi/s, 6m37sTransferred:   	   35.996 MiB / 3.127 GiB, 1%, 7.992 MiB/s, ETA 6m36s
Transferred:            0 / 1, 0%
Elapsed time:         2.4s
Transferring:
 *                         WebQSP_FilterFreebase:  1% /3.127Gi, 7.992Mi/s, 6m36sTransferred:   	   53.621 MiB / 3.127 GiB, 2%, 19.995 MiB/s, ETA 2m37s
Transferred:            0 / 1, 0%
Elapsed time:         2.9s
Transferring:
 *                         WebQSP_FilterFreebase:  1% /3.127Gi, 19.995Mi/s, 2m37Transferred:   	   67.996 MiB / 3.127 GiB, 2%, 19.995 MiB/s, ETA 2m36s
Transferred:            0 / 1, 0%
Elapsed time:         3.4s
Transferring:
 *                         WebQSP_FilterFreebase:  2% /3.127Gi, 19.995Mi/s, 2m36Transferred:   	       80 MiB / 3.127 GiB, 2%, 24.004 MiB/s, ETA 2m10s
Transferred:            0 / 1, 0%
Elapsed time:         3.9s
Transferring:
 *                         WebQSP_FilterFreebase:  2% /3.127Gi, 24.004Mi/s, 2m10Transferred:   	       96 MiB / 3.127 GiB, 3%, 24.004 MiB/s, ETA 2m9s
Transferred:            0 / 1, 0%
Elapsed time:         4.4s
Transferring:
 *                         WebQSP_FilterFreebase:  2% /3.127Gi, 24.004Mi/s, 2m9sTransferred:   	      112 MiB / 3.127 GiB, 3%, 25.770 MiB/s, ETA 1m59s
Transferred:            0 / 1, 0%
Elapsed time:         4.9s
Transferring:
 *                         WebQSP_FilterFreebase:  3% /3.127Gi, 25.770Mi/s, 1m59Transferred:   	  123.996 MiB / 3.127 GiB, 4%, 25.770 MiB/s, ETA 1m59s
Transferred:            0 / 1, 0%
Elapsed time:         5.4s
Transferring:
 *                         WebQSP_FilterFreebase:  3% /3.127Gi, 25.770Mi/s, 1m59Transferred:   	  139.996 MiB / 3.127 GiB, 4%, 25.601 MiB/s, ETA 1m59s
Transferred:            0 / 1, 0%
Elapsed time:         5.9s
Transferring:
 *                         WebQSP_FilterFreebase:  4% /3.127Gi, 25.601Mi/s, 1m59Transferred:   	      152 MiB / 3.127 GiB, 5%, 25.601 MiB/s, ETA 1m59s
Transferred:            0 / 1, 0%
Elapsed time:         6.4s
Transferring:
 *                         WebQSP_FilterFreebase:  4% /3.127Gi, 25.601Mi/s, 1m59Transferred:   	      168 MiB / 3.127 GiB, 5%, 26.670 MiB/s, ETA 1m53s
Transferred:            0 / 1, 0%
Elapsed time:         6.9s
Transferring:
 *                         WebQSP_FilterFreebase:  5% /3.127Gi, 26.670Mi/s, 1m53Transferred:   	      184 MiB / 3.127 GiB, 6%, 26.670 MiB/s, ETA 1m53s
Transferred:            0 / 1, 0%
Elapsed time:         7.4s
Transferring:
 *                         WebQSP_FilterFreebase:  5% /3.127Gi, 26.670Mi/s, 1m53Transferred:   	  199.965 MiB / 3.127 GiB, 6%, 26.858 MiB/s, ETA 1m51s
Transferred:            0 / 1, 0%
Elapsed time:         7.9s
Transferring:
 *                         WebQSP_FilterFreebase:  6% /3.127Gi, 26.858Mi/s, 1m51Transferred:   	  215.496 MiB / 3.127 GiB, 7%, 26.858 MiB/s, ETA 1m51s
Transferred:            0 / 1, 0%
Elapsed time:         8.4s
Transferring:
 *                         WebQSP_FilterFreebase:  6% /3.127Gi, 26.858Mi/s, 1m51Transferred:   	  227.996 MiB / 3.127 GiB, 7%, 27.002 MiB/s, ETA 1m50s
Transferred:            0 / 1, 0%
Elapsed time:         8.9s
Transferring:
 *                         WebQSP_FilterFreebase:  7% /3.127Gi, 27.002Mi/s, 1m50Transferred:   	      240 MiB / 3.127 GiB, 7%, 27.002 MiB/s, ETA 1m49s
Transferred:            0 / 1, 0%
Elapsed time:         9.4s
Transferring:
 *                         WebQSP_FilterFreebase:  7% /3.127Gi, 27.002Mi/s, 1m49Transferred:   	      256 MiB / 3.127 GiB, 8%, 27.552 MiB/s, ETA 1m46s
Transferred:            0 / 1, 0%
Elapsed time:         9.9s
Transferring:
 *                         WebQSP_FilterFreebase:  7% /3.127Gi, 27.552Mi/s, 1m46Transferred:   	      272 MiB / 3.127 GiB, 8%, 27.552 MiB/s, ETA 1m46s
Transferred:            0 / 1, 0%
Elapsed time:        10.4s
Transferring:
 *                         WebQSP_FilterFreebase:  8% /3.127Gi, 27.552Mi/s, 1m46Transferred:   	      288 MiB / 3.127 GiB, 9%, 27.914 MiB/s, ETA 1m44s
Transferred:            0 / 1, 0%
Elapsed time:        10.9s
Transferring:
 *                         WebQSP_FilterFreebase:  8% /3.127Gi, 27.914Mi/s, 1m44Transferred:   	      304 MiB / 3.127 GiB, 9%, 27.914 MiB/s, ETA 1m43s
Transferred:            0 / 1, 0%
Elapsed time:        11.4s
Transferring:
 *                         WebQSP_FilterFreebase:  9% /3.127Gi, 27.914Mi/s, 1m43Transferred:   	      320 MiB / 3.127 GiB, 10%, 28.150 MiB/s, ETA 1m42s
Transferred:            0 / 1, 0%
Elapsed time:        11.9s
Transferring:
 *                         WebQSP_FilterFreebase:  9% /3.127Gi, 28.150Mi/s, 1m42Transferred:   	  335.496 MiB / 3.127 GiB, 10%, 28.150 MiB/s, ETA 1m41s
Transferred:            0 / 1, 0%
Elapsed time:        12.4s
Transferring:
 *                         WebQSP_FilterFreebase: 10% /3.127Gi, 28.150Mi/s, 1m41Transferred:   	  349.840 MiB / 3.127 GiB, 11%, 28.333 MiB/s, ETA 1m40s
Transferred:            0 / 1, 0%
Elapsed time:        12.9s
Transferring:
 *                         WebQSP_FilterFreebase: 10% /3.127Gi, 28.333Mi/s, 1m40Transferred:   	  365.715 MiB / 3.127 GiB, 11%, 28.333 MiB/s, ETA 1m40s
Transferred:            0 / 1, 0%
Elapsed time:        13.4s
Transferring:
 *                         WebQSP_FilterFreebase: 11% /3.127Gi, 28.333Mi/s, 1m40Transferred:   	  379.996 MiB / 3.127 GiB, 12%, 28.309 MiB/s, ETA 1m39s
Transferred:            0 / 1, 0%
Elapsed time:        13.9s
Transferring:
 *                         WebQSP_FilterFreebase: 11% /3.127Gi, 28.309Mi/s, 1m39Transferred:   	  395.996 MiB / 3.127 GiB, 12%, 28.309 MiB/s, ETA 1m39s
Transferred:            0 / 1, 0%
Elapsed time:        14.4s
Transferring:
 *                         WebQSP_FilterFreebase: 12% /3.127Gi, 28.309Mi/s, 1m39Transferred:   	  411.965 MiB / 3.127 GiB, 13%, 28.572 MiB/s, ETA 1m37s
Transferred:            0 / 1, 0%
Elapsed time:        14.9s
Transferring:
 *                         WebQSP_FilterFreebase: 12% /3.127Gi, 28.572Mi/s, 1m37Transferred:   	      424 MiB / 3.127 GiB, 13%, 28.572 MiB/s, ETA 1m37s
Transferred:            0 / 1, 0%
Elapsed time:        15.4s
Transferring:
 *                         WebQSP_FilterFreebase: 13% /3.127Gi, 28.572Mi/s, 1m37Transferred:   	      440 MiB / 3.127 GiB, 14%, 28.726 MiB/s, ETA 1m36s
Transferred:            0 / 1, 0%
Elapsed time:        15.9s
Transferring:
 *                         WebQSP_FilterFreebase: 13% /3.127Gi, 28.726Mi/s, 1m36Transferred:   	      456 MiB / 3.127 GiB, 14%, 28.726 MiB/s, ETA 1m35s
Transferred:            0 / 1, 0%
Elapsed time:        16.4s
Transferring:
 *                         WebQSP_FilterFreebase: 14% /3.127Gi, 28.726Mi/s, 1m35Transferred:   	      472 MiB / 3.127 GiB, 15%, 28.876 MiB/s, ETA 1m34s
Transferred:            0 / 1, 0%
Elapsed time:        16.9s
Transferring:
 *                         WebQSP_FilterFreebase: 14% /3.127Gi, 28.876Mi/s, 1m34Transferred:   	      488 MiB / 3.127 GiB, 15%, 28.876 MiB/s, ETA 1m33s
Transferred:            0 / 1, 0%
Elapsed time:        17.4s
Transferring:
 *                         WebQSP_FilterFreebase: 15% /3.127Gi, 28.876Mi/s, 1m33Transferred:   	      504 MiB / 3.127 GiB, 16%, 29.041 MiB/s, ETA 1m32s
Transferred:            0 / 1, 0%
Elapsed time:        17.9s
Transferring:
 *                         WebQSP_FilterFreebase: 15% /3.127Gi, 29.041Mi/s, 1m32Transferred:   	  519.590 MiB / 3.127 GiB, 16%, 29.041 MiB/s, ETA 1m32s
Transferred:            0 / 1, 0%
Elapsed time:        18.4s
Transferring:
 *                         WebQSP_FilterFreebase: 16% /3.127Gi, 29.041Mi/s, 1m32Transferred:   	  533.340 MiB / 3.127 GiB, 17%, 28.880 MiB/s, ETA 1m32s
Transferred:            0 / 1, 0%
Elapsed time:        18.9s
Transferring:
 *                         WebQSP_FilterFreebase: 16% /3.127Gi, 28.880Mi/s, 1m32Transferred:   	  549.465 MiB / 3.127 GiB, 17%, 28.880 MiB/s, ETA 1m31s
Transferred:            0 / 1, 0%
Elapsed time:        19.4s
Transferring:
 *                         WebQSP_FilterFreebase: 17% /3.127Gi, 28.880Mi/s, 1m31Transferred:   	  563.996 MiB / 3.127 GiB, 18%, 29.076 MiB/s, ETA 1m30s
Transferred:            0 / 1, 0%
Elapsed time:        19.9s
Transferring:
 *                         WebQSP_FilterFreebase: 17% /3.127Gi, 29.076Mi/s, 1m30Transferred:   	      576 MiB / 3.127 GiB, 18%, 29.076 MiB/s, ETA 1m30s
Transferred:            0 / 1, 0%
Elapsed time:        20.4s
Transferring:
 *                         WebQSP_FilterFreebase: 17% /3.127Gi, 29.076Mi/s, 1m30Transferred:   	      592 MiB / 3.127 GiB, 18%, 29.227 MiB/s, ETA 1m29s
Transferred:            0 / 1, 0%
Elapsed time:        20.9s
Transferring:
 *                         WebQSP_FilterFreebase: 18% /3.127Gi, 29.227Mi/s, 1m29Transferred:   	      608 MiB / 3.127 GiB, 19%, 29.227 MiB/s, ETA 1m28s
Transferred:            0 / 1, 0%
Elapsed time:        21.4s
Transferring:
 *                         WebQSP_FilterFreebase: 18% /3.127Gi, 29.227Mi/s, 1m28Transferred:   	  621.465 MiB / 3.127 GiB, 19%, 29.182 MiB/s, ETA 1m28s
Transferred:            0 / 1, 0%
Elapsed time:        21.9s
Transferring:
 *                         WebQSP_FilterFreebase: 19% /3.127Gi, 29.182Mi/s, 1m28Transferred:   	  638.996 MiB / 3.127 GiB, 20%, 29.182 MiB/s, ETA 1m27s
Transferred:            0 / 1, 0%
Elapsed time:        22.4s
Transferring:
 *                         WebQSP_FilterFreebase: 19% /3.127Gi, 29.182Mi/s, 1m27Transferred:   	  655.121 MiB / 3.127 GiB, 20%, 29.358 MiB/s, ETA 1m26s
Transferred:            0 / 1, 0%
Elapsed time:        22.9s
Transferring:
 *                         WebQSP_FilterFreebase: 20% /3.127Gi, 29.358Mi/s, 1m26Transferred:   	  669.402 MiB / 3.127 GiB, 21%, 29.358 MiB/s, ETA 1m26s
Transferred:            0 / 1, 0%
Elapsed time:        23.4s
Transferring:
 *                         WebQSP_FilterFreebase: 20% /3.127Gi, 29.358Mi/s, 1m26Transferred:   	  683.996 MiB / 3.127 GiB, 21%, 29.274 MiB/s, ETA 1m26s
Transferred:            0 / 1, 0%
Elapsed time:        23.9s
Transferring:
 *                         WebQSP_FilterFreebase: 21% /3.127Gi, 29.274Mi/s, 1m26Transferred:   	      696 MiB / 3.127 GiB, 22%, 29.274 MiB/s, ETA 1m25s
Transferred:            0 / 1, 0%
Elapsed time:        24.4s
Transferring:
 *                         WebQSP_FilterFreebase: 21% /3.127Gi, 29.274Mi/s, 1m25Transferred:   	      712 MiB / 3.127 GiB, 22%, 29.393 MiB/s, ETA 1m24s
Transferred:            0 / 1, 0%
Elapsed time:        24.9s
Transferring:
 *                         WebQSP_FilterFreebase: 22% /3.127Gi, 29.393Mi/s, 1m24Transferred:   	  723.996 MiB / 3.127 GiB, 23%, 29.393 MiB/s, ETA 1m24s
Transferred:            0 / 1, 0%
Elapsed time:        25.4s
Transferring:
 *                         WebQSP_FilterFreebase: 22% /3.127Gi, 29.393Mi/s, 1m24Transferred:   	  739.996 MiB / 3.127 GiB, 23%, 29.107 MiB/s, ETA 1m24s
Transferred:            0 / 1, 0%
Elapsed time:        25.9s
Transferring:
 *                         WebQSP_FilterFreebase: 23% /3.127Gi, 29.107Mi/s, 1m24Transferred:   	      752 MiB / 3.127 GiB, 23%, 29.107 MiB/s, ETA 1m24s
Transferred:            0 / 1, 0%
Elapsed time:        26.4s
Transferring:
 *                         WebQSP_FilterFreebase: 23% /3.127Gi, 29.107Mi/s, 1m24Transferred:   	      768 MiB / 3.127 GiB, 24%, 29.260 MiB/s, ETA 1m23s
Transferred:            0 / 1, 0%
Elapsed time:        26.9s
Transferring:
 *                         WebQSP_FilterFreebase: 23% /3.127Gi, 29.260Mi/s, 1m23Transferred:   	  783.590 MiB / 3.127 GiB, 24%, 29.260 MiB/s, ETA 1m22s
Transferred:            0 / 1, 0%
Elapsed time:        27.4s
Transferring:
 *                         WebQSP_FilterFreebase: 24% /3.127Gi, 29.260Mi/s, 1m22Transferred:   	  795.996 MiB / 3.127 GiB, 25%, 28.959 MiB/s, ETA 1m23s
Transferred:            0 / 1, 0%
Elapsed time:        27.9s
Transferring:
 *                         WebQSP_FilterFreebase: 24% /3.127Gi, 28.959Mi/s, 1m23Transferred:   	      808 MiB / 3.127 GiB, 25%, 28.959 MiB/s, ETA 1m22s
Transferred:            0 / 1, 0%
Elapsed time:        28.4s
Transferring:
 *                         WebQSP_FilterFreebase: 25% /3.127Gi, 28.959Mi/s, 1m22Transferred:   	      824 MiB / 3.127 GiB, 26%, 29.085 MiB/s, ETA 1m21s
Transferred:            0 / 1, 0%
Elapsed time:        28.9s
Transferring:
 *                         WebQSP_FilterFreebase: 25% /3.127Gi, 29.085Mi/s, 1m21Transferred:   	  839.496 MiB / 3.127 GiB, 26%, 29.085 MiB/s, ETA 1m21s
Transferred:            0 / 1, 0%
Elapsed time:        29.4s
Transferring:
 *                         WebQSP_FilterFreebase: 26% /3.127Gi, 29.085Mi/s, 1m21Transferred:   	  853.715 MiB / 3.127 GiB, 27%, 29.080 MiB/s, ETA 1m20s
Transferred:            0 / 1, 0%
Elapsed time:        29.9s
Transferring:
 *                         WebQSP_FilterFreebase: 26% /3.127Gi, 29.080Mi/s, 1m20Transferred:   	  869.402 MiB / 3.127 GiB, 27%, 29.080 MiB/s, ETA 1m20s
Transferred:            0 / 1, 0%
Elapsed time:        30.4s
Transferring:
 *                         WebQSP_FilterFreebase: 27% /3.127Gi, 29.080Mi/s, 1m20Transferred:   	      880 MiB / 3.127 GiB, 27%, 29.014 MiB/s, ETA 1m20s
Transferred:            0 / 1, 0%
Elapsed time:        30.9s
Transferring:
 *                         WebQSP_FilterFreebase: 27% /3.127Gi, 29.014Mi/s, 1m20Transferred:   	      896 MiB / 3.127 GiB, 28%, 29.014 MiB/s, ETA 1m19s
Transferred:            0 / 1, 0%
Elapsed time:        31.4s
Transferring:
 *                         WebQSP_FilterFreebase: 27% /3.127Gi, 29.014Mi/s, 1m19Transferred:   	  911.246 MiB / 3.127 GiB, 28%, 29.060 MiB/s, ETA 1m18s
Transferred:            0 / 1, 0%
Elapsed time:        31.9s
Transferring:
 *                         WebQSP_FilterFreebase: 28% /3.127Gi, 29.060Mi/s, 1m18Transferred:   	  925.777 MiB / 3.127 GiB, 29%, 29.060 MiB/s, ETA 1m18s
Transferred:            0 / 1, 0%
Elapsed time:        32.4s
Transferring:
 *                         WebQSP_FilterFreebase: 28% /3.127Gi, 29.060Mi/s, 1m18Transferred:   	  939.996 MiB / 3.127 GiB, 29%, 28.884 MiB/s, ETA 1m18s
Transferred:            0 / 1, 0%
Elapsed time:        32.9s
Transferring:
 *                         WebQSP_FilterFreebase: 29% /3.127Gi, 28.884Mi/s, 1m18Transferred:   	  955.996 MiB / 3.127 GiB, 30%, 28.884 MiB/s, ETA 1m17s
Transferred:            0 / 1, 0%
Elapsed time:        33.4s
Transferring:
 *                         WebQSP_FilterFreebase: 29% /3.127Gi, 28.884Mi/s, 1m17Transferred:   	      968 MiB / 3.127 GiB, 30%, 29.078 MiB/s, ETA 1m16s
Transferred:            0 / 1, 0%
Elapsed time:        33.9s
Transferring:
 *                         WebQSP_FilterFreebase: 30% /3.127Gi, 29.078Mi/s, 1m16Transferred:   	      984 MiB / 3.127 GiB, 31%, 29.078 MiB/s, ETA 1m16s
Transferred:            0 / 1, 0%
Elapsed time:        34.4s
Transferring:
 *                         WebQSP_FilterFreebase: 30% /3.127Gi, 29.078Mi/s, 1m16Transferred:   	     1000 MiB / 3.127 GiB, 31%, 29.099 MiB/s, ETA 1m15s
Transferred:            0 / 1, 0%
Elapsed time:        34.9s
Transferring:
 *                         WebQSP_FilterFreebase: 31% /3.127Gi, 29.099Mi/s, 1m15Transferred:   	 1011.996 MiB / 3.127 GiB, 32%, 29.099 MiB/s, ETA 1m15s
Transferred:            0 / 1, 0%
Elapsed time:        35.4s
Transferring:
 *                         WebQSP_FilterFreebase: 31% /3.127Gi, 29.099Mi/s, 1m15Transferred:   	        1 GiB / 3.127 GiB, 32%, 28.942 MiB/s, ETA 1m15s
Transferred:            0 / 1, 0%
Elapsed time:        35.9s
Transferring:
 *                         WebQSP_FilterFreebase: 31% /3.127Gi, 28.942Mi/s, 1m15Transferred:   	    1.016 GiB / 3.127 GiB, 32%, 28.942 MiB/s, ETA 1m14s
Transferred:            0 / 1, 0%
Elapsed time:        36.4s
Transferring:
 *                         WebQSP_FilterFreebase: 32% /3.127Gi, 28.942Mi/s, 1m14Transferred:   	    1.031 GiB / 3.127 GiB, 33%, 28.990 MiB/s, ETA 1m14s
Transferred:            0 / 1, 0%
Elapsed time:        36.9s
Transferring:
 *                         WebQSP_FilterFreebase: 32% /3.127Gi, 28.990Mi/s, 1m14Transferred:   	    1.047 GiB / 3.127 GiB, 33%, 28.990 MiB/s, ETA 1m13s
Transferred:            0 / 1, 0%
Elapsed time:        37.4s
Transferring:
 *                         WebQSP_FilterFreebase: 33% /3.127Gi, 28.990Mi/s, 1m13Transferred:   	    1.062 GiB / 3.127 GiB, 34%, 29.070 MiB/s, ETA 1m12s
Transferred:            0 / 1, 0%
Elapsed time:        37.9s
Transferring:
 *                         WebQSP_FilterFreebase: 33% /3.127Gi, 29.070Mi/s, 1m12Transferred:   	    1.074 GiB / 3.127 GiB, 34%, 29.070 MiB/s, ETA 1m12s
Transferred:            0 / 1, 0%
Elapsed time:        38.4s
Transferring:
 *                         WebQSP_FilterFreebase: 34% /3.127Gi, 29.070Mi/s, 1m12Transferred:   	    1.086 GiB / 3.127 GiB, 35%, 29.005 MiB/s, ETA 1m12s
Transferred:            0 / 1, 0%
Elapsed time:        38.9s
Transferring:
 *                         WebQSP_FilterFreebase: 34% /3.127Gi, 29.005Mi/s, 1m12Transferred:   	    1.102 GiB / 3.127 GiB, 35%, 29.005 MiB/s, ETA 1m11s
Transferred:            0 / 1, 0%
Elapsed time:        39.4s
Transferring:
 *                         WebQSP_FilterFreebase: 35% /3.127Gi, 29.005Mi/s, 1m11Transferred:   	    1.115 GiB / 3.127 GiB, 36%, 28.941 MiB/s, ETA 1m11s
Transferred:            0 / 1, 0%
Elapsed time:        39.9s
Transferring:
 *                         WebQSP_FilterFreebase: 35% /3.127Gi, 28.941Mi/s, 1m11Transferred:   	    1.130 GiB / 3.127 GiB, 36%, 28.941 MiB/s, ETA 1m10s
Transferred:            0 / 1, 0%
Elapsed time:        40.4s
Transferring:
 *                         WebQSP_FilterFreebase: 36% /3.127Gi, 28.941Mi/s, 1m10Transferred:   	    1.141 GiB / 3.127 GiB, 36%, 28.884 MiB/s, ETA 1m10s
Transferred:            0 / 1, 0%
Elapsed time:        40.9s
Transferring:
 *                         WebQSP_FilterFreebase: 36% /3.127Gi, 28.884Mi/s, 1m10Transferred:   	    1.156 GiB / 3.127 GiB, 37%, 28.884 MiB/s, ETA 1m9s
Transferred:            0 / 1, 0%
Elapsed time:        41.4s
Transferring:
 *                         WebQSP_FilterFreebase: 36% /3.127Gi, 28.884Mi/s, 1m9sTransferred:   	    1.172 GiB / 3.127 GiB, 37%, 28.969 MiB/s, ETA 1m9s
Transferred:            0 / 1, 0%
Elapsed time:        41.9s
Transferring:
 *                         WebQSP_FilterFreebase: 37% /3.127Gi, 28.969Mi/s, 1m9sTransferred:   	    1.187 GiB / 3.127 GiB, 38%, 28.969 MiB/s, ETA 1m8s
Transferred:            0 / 1, 0%
Elapsed time:        42.4s
Transferring:
 *                         WebQSP_FilterFreebase: 37% /3.127Gi, 28.969Mi/s, 1m8sTransferred:   	    1.199 GiB / 3.127 GiB, 38%, 29.017 MiB/s, ETA 1m8s
Transferred:            0 / 1, 0%
Elapsed time:        42.9s
Transferring:
 *                         WebQSP_FilterFreebase: 38% /3.127Gi, 29.017Mi/s, 1m8sTransferred:   	    1.211 GiB / 3.127 GiB, 39%, 29.017 MiB/s, ETA 1m7s
Transferred:            0 / 1, 0%
Elapsed time:        43.4s
Transferring:
 *                         WebQSP_FilterFreebase: 38% /3.127Gi, 29.017Mi/s, 1m7sTransferred:   	    1.227 GiB / 3.127 GiB, 39%, 28.909 MiB/s, ETA 1m7s
Transferred:            0 / 1, 0%
Elapsed time:        43.9s
Transferring:
 *                         WebQSP_FilterFreebase: 39% /3.127Gi, 28.909Mi/s, 1m7sTransferred:   	    1.242 GiB / 3.127 GiB, 40%, 28.909 MiB/s, ETA 1m6s
Transferred:            0 / 1, 0%
Elapsed time:        44.4s
Transferring:
 *                         WebQSP_FilterFreebase: 39% /3.127Gi, 28.909Mi/s, 1m6sTransferred:   	    1.258 GiB / 3.127 GiB, 40%, 28.992 MiB/s, ETA 1m6s
Transferred:            0 / 1, 0%
Elapsed time:        44.9s
Transferring:
